fire_location_latitude,fire_location_longitude
58.44195,-114.550567
58.43715,-116.2454
58.762517,-117.323083
58.271733,-115.9572
58.2502,-117.3433
58.762167,-117.331483
58.713567,-118.767367
54.618113,-111.835245
55.157145,-113.897556
55.902638,-110.745595
54.616817,-111.850517
54.915696,-112.539586
54.9855,-111.5723
55.905633,-110.747883
55.932,-110.72435
55.940433,-110.718467
54.61735,-111.826129
55.938954,-110.719491
55.931727,-110.725936
54.740391,-111.705557
55.9174,-110.741333
55.676933,-111.0907
54.9111,-112.062633
55.929417,-110.72235
56.011674,-110.569309
55.239333,-113.197517
55.903683,-110.749917
55.902617,-110.7488
55.3317,-113.277545
54.56005,-111.242933
54.674513,-113.984994
55.818783,-111.437167
55.841467,-110.887817
54.560883,-111.226483
54.91565,-113.478267
54.910433,-113.476483
55.763119,-112.067404
54.53975,-111.279685
54.537467,-111.241333
54.5025,-111.794167
54.807133,-110.364883
55.829167,-111.045833
55.828312,-110.984887
55.249673,-113.196822
56.09,-110.895
55.195283,-113.167533
54.898867,-113.157417
55.008183,-110.19855
55.269267,-113.237133
56.6585,-111.046167
56.367417,-111.283733
56.766767,-111.73455
56.6602,-111.2338
56.75655,-111.681817
57.254767,-111.746033
56.719133,-111.509617
56.684297,-111.384317
56.109683,-116.818333
56.468883,-116.39135
57.962583,-117.581183
57.72065,-117.69405
56.481133,-116.726933
56.524433,-117.990033
56.4634,-116.400583
56.444617,-117.119517
57.73055,-117.416433
53.062317,-115.293667
52.247667,-114.8857
52.386583,-116.28045
53.009667,-115.229
53.075517,-115.02105
55.360117,-115.736667
55.916267,-113.950317
55.902667,-113.837167
55.337117,-115.794883
55.914683,-115.65795
55.250283,-116.242
55.390133,-115.82015
55.21585,-115.402917
55.374167,-115.4625
56.117029,-113.85808
56.135067,-113.85265
55.3349,-113.7688
55.051483,-116.61545
55.392442,-115.462767
55.394267,-115.4628
55.881183,-115.828667
55.501117,-116.05785
55.3785,-115.4255
55.019867,-115.494117
55.149583,-114.52
55.9217,-114.64675
56.914667,-114.712583
55.108783,-116.411817
55.887683,-115.685567
55.336283,-115.78835
54.999983,-115.24695
55.917023,-113.707167
56.103867,-115.628933
55.6917,-115.09585
55.735523,-115.048575
55.993717,-115.9155
