id,fire_location_latitude,fire_location_longitude,fire_year
344,56.454033,-116.12555,2016
345,56.536833,-116.398683,2016
346,52.3205,-115.167967,2016
347,51.74205,-114.897183,2016
348,52.716183,-115.132817,2016
349,52.175717,-116.481117,2016
350,55.111483,-116.074217,2016
351,55.31755,-115.434567,2016
352,55.91675,-115.65755,2016
353,55.332411,-116.593759,2016
354,55.29835,-116.8603,2016
355,55.685967,-116.412867,2016
356,56.527583,-115.355633,2016
357,55.301667,-114.854167,2016
358,55.346629,-115.792676,2016
359,55.838,-114.296,2016
360,55.258217,-116.587717,2016
361,55.281667,-114.793333,2016
362,55.832633,-114.275833,2016
363,55.968617,-113.831667,2016
364,55.280013,-115.380183,2016
365,55.93955,-115.23645,2016
366,56.568133,-115.241633,2016
367,55.33485,-116.596267,2016
368,55.181333,-113.976,2016
369,55.282933,-115.879417,2016
370,55.701983,-115.098783,2016
371,55.703583,-115.09885,2016
372,54.678117,-115.549183,2016
373,54.483083,-114.418467,2016
374,54.40955,-114.70285,2016
375,54.14384,-115.7805,2016
376,54.603,-115.549167,2016
377,51.626867,-115.3001,2015
378,50.184933,-114.3196,2015
379,51.170467,-114.896967,2015
380,53.20848,-116.79112,2015
381,53.028417,-116.681017,2015
382,53.439517,-116.2478,2015
383,53.611683,-115.695783,2015
384,53.708383,-115.502517,2015
385,54.25245,-119.403333,2015
386,55.40975,-118.086483,2015
387,55.870023,-119.304967,2015
388,55.65055,-119.51175,2015
389,55.117838,-117.8054,2015
390,54.671767,-118.270683,2015
391,58.705883,-118.703683,2015
392,58.487583,-116.377367,2015
393,58.5223,-117.083267,2015
394,58.707067,-118.674783,2015
395,58.837443,-118.731727,2015
396,58.511017,-115.5755,2015
397,58.44195,-114.550567,2015
398,58.43715,-116.2454,2015
399,58.762517,-117.323083,2015
400,58.271733,-115.9572,2015
401,58.2502,-117.3433,2015
402,58.762167,-117.331483,2015
403,58.713567,-118.767367,2015
404,54.618113,-111.835245,2015
405,55.157145,-113.897556,2015
406,55.902638,-110.745595,2015
407,54.616817,-111.850517,2015
408,54.915696,-112.539586,2015
409,54.9855,-111.5723,2015
410,55.905633,-110.747883,2015
411,55.932,-110.72435,2015
412,55.940433,-110.718467,2015
413,54.61735,-111.826129,2015
414,55.938954,-110.719491,2015
415,55.931727,-110.725936,2015
416,54.740391,-111.705557,2015
417,55.9174,-110.741333,2015
418,55.676933,-111.0907,2015
419,54.9111,-112.062633,2015
420,55.929417,-110.72235,2015
421,56.011674,-110.569309,2015
422,55.239333,-113.197517,2015
423,55.903683,-110.749917,2015
424,55.902617,-110.7488,2015
425,55.3317,-113.277545,2015
426,54.56005,-111.242933,2015
427,54.674513,-113.984994,2015
428,55.818783,-111.437167,2015
429,55.841467,-110.887817,2015
430,54.560883,-111.226483,2015
431,54.91565,-113.478267,2015
432,54.910433,-113.476483,2015
433,55.763119,-112.067404,2015
434,54.53975,-111.279685,2015
435,54.537467,-111.241333,2015
436,54.5025,-111.794167,2015
437,54.807133,-110.364883,2015
438,55.829167,-111.045833,2015
439,55.828312,-110.984887,2015
440,55.249673,-113.196822,2015
441,56.09,-110.895,2015
442,55.195283,-113.167533,2015
443,54.898867,-113.157417,2015
444,55.008183,-110.19855,2015
445,55.269267,-113.237133,2015
446,56.6585,-111.046167,2015
447,56.367417,-111.283733,2015
448,56.766767,-111.73455,2015
449,56.6602,-111.2338,2015
450,56.75655,-111.681817,2015
451,57.254767,-111.746033,2015
452,56.719133,-111.509617,2015
453,56.684297,-111.384317,2015
454,56.109683,-116.818333,2015
455,56.468883,-116.39135,2015
456,57.962583,-117.581183,2015
457,57.72065,-117.69405,2015
458,56.481133,-116.726933,2015
459,56.524433,-117.990033,2015
460,56.4634,-116.400583,2015
461,56.444617,-117.119517,2015
462,57.73055,-117.416433,2015
463,53.062317,-115.293667,2015
464,52.247667,-114.8857,2015
465,52.386583,-116.28045,2015
466,53.009667,-115.229,2015
467,53.075517,-115.02105,2015
468,55.360117,-115.736667,2015
469,55.916267,-113.950317,2015
470,55.902667,-113.837167,2015
471,55.337117,-115.794883,2015
472,55.914683,-115.65795,2015
473,55.250283,-116.242,2015
474,55.390133,-115.82015,2015
475,55.21585,-115.402917,2015
476,55.374167,-115.4625,2015
477,56.117029,-113.85808,2015
478,56.135067,-113.85265,2015
479,55.3349,-113.7688,2015
480,55.051483,-116.61545,2015
481,55.392442,-115.462767,2015
482,55.394267,-115.4628,2015
483,55.881183,-115.828667,2015
484,55.501117,-116.05785,2015
485,55.3785,-115.4255,2015
486,55.019867,-115.494117,2015
487,55.149583,-114.52,2015
488,55.9217,-114.64675,2015
489,56.914667,-114.712583,2015
490,55.108783,-116.411817,2015
491,55.887683,-115.685567,2015
492,55.336283,-115.78835,2015
493,54.999983,-115.24695,2015
494,55.917023,-113.707167,2015
495,56.103867,-115.628933,2015
496,55.6917,-115.09585,2015
497,55.735523,-115.048575,2015
498,55.993717,-115.9155,2015
499,55.635667,-114.919167,2015
500,55.03555,-115.566733,2015
501,55.9875,-113.873333,2015
502,54.361783,-116.736867,2015
503,54.378367,-117.144783,2015
504,54.686067,-115.408733,2015
505,54.11785,-115.559533,2015
506,54.677017,-115.536217,2015
507,54.473083,-115.6399,2015
508,54.655617,-115.386033,2015
509,51.154,-114.989167,2014
510,51.2709,-115.006517,2014
511,53.657317,-116.643717,2014
512,53.8067,-115.55365,2014
513,53.670867,-116.28635,2014
514,54.425833,-118.483333,2014
515,55.068267,-117.50965,2014
516,54.890209,-117.33734,2014
517,55.045333,-118.68605,2014
518,54.39125,-119.8511,2014
519,58.714333,-118.736167,2014
520,58.7007,-118.93095,2014
521,58.713133,-118.756117,2014
522,58.709367,-118.6933,2014
523,58.761467,-118.725783,2014
524,58.747767,-118.718817,2014
525,58.72455,-118.707383,2014
526,58.441617,-117.220583,2014
527,58.50325,-115.15065,2014
528,58.502017,-115.92535,2014
529,58.357733,-115.833483,2014
530,58.695633,-118.706517,2014
531,58.611767,-117.097283,2014
532,58.419183,-114.542583,2014
533,58.410667,-114.555333,2014
534,58.46255,-114.575867,2014
535,58.204983,-115.6083,2014
536,58.200983,-115.647483,2014
537,57.9036,-116.7216,2014
538,58.1781,-115.694783,2014
539,58.23035,-116.4937,2014
540,59.18235,-118.666783,2014
541,58.563683,-119.166867,2014
542,58.409192,-115.862001,2014
543,55.92372,-110.73431,2014
544,55.917117,-110.737367,2014
545,55.08305,-112.471933,2014
546,55.934983,-110.719383,2014
547,55.366668,-111.363185,2014
548,55.938954,-110.719491,2014
549,54.689817,-111.906133,2014
550,55.1615,-113.026167,2014
551,54.987088,-110.882255,2014
552,55.898417,-110.747,2014
553,54.562248,-111.222673,2014
554,55.91145,-110.741967,2014
555,54.78135,-111.800133,2014
556,55.83516,-112.59001,2014
557,56.47995,-112.8532,2014
558,56.412283,-111.4434,2014
559,56.390367,-111.44535,2014
560,56.44079,-111.180354,2014
