fire_year,current_size,fire_location_latitude,fire_location_longitude,assessment_hectares,fire_spread_rate,temperature,relative_humidity,wind_speed,fire_fighting_start_size,fire_origin_encoded,fire_type_encoded,general_cause_desc_encoded,weather_conditions_over_fire_encoded,temperature_encoded,relative_humidity_encoded,wind_speed_encoded,current_size_bin_encoded
2020,0.1,51.20905,-114.7227,0.1,0.0,15.0,73.0,14.0,0.01,4,2,9,2,0.6166666666666667,0.73,0.15555555555555556,0
2020,0.01,50.962217,-114.94895,0.01,0.0,21.7,30.0,2.0,0.01,4,1,9,0,0.7283333333333333,0.3,0.022222222222222223,0
2020,0.01,51.576633,-114.95955,0.01,0.0,9.0,67.0,0.0,0.01,4,2,9,3,0.5166666666666666,0.67,0.0,0
2020,0.2,49.918483,-114.414233,0.2,1.0,7.0,90.0,0.0,0.1,4,1,1,0,0.4833333333333333,0.9,0.0,0
2020,2.77,51.11877,-114.9119,1.0,10.0,18.0,50.0,20.0,2.0,1,2,10,2,0.6666666666666666,0.5,0.22222222222222224,0
2020,0.01,50.980333,-114.96775,0.01,0.0,13.0,68.0,0.0,0.01,4,2,9,3,0.5833333333333333,0.68,0.0,0
2020,0.05,53.658867,-115.997633,0.05,0.0,15.0,85.0,8.0,0.05,4,2,2,3,0.6166666666666667,0.85,0.08888888888888889,0
2020,0.8,55.773067,-119.301918,0.3,0.3,15.0,43.0,5.0,0.3,4,2,4,2,0.6166666666666667,0.43,0.05555555555555556,0
2020,1.1,54.9384,-116.839917,0.1,1.0,22.0,42.0,15.0,0.5,3,2,10,2,0.7333333333333333,0.42,0.16666666666666669,0
2020,0.28,54.975783,-117.4714,0.28,1.0,20.0,36.0,12.0,0.28,3,1,10,3,0.7,0.36,0.13333333333333333,0
2020,0.01,55.7576,-119.526417,0.01,1.0,19.0,57.0,2.0,0.01,4,1,6,2,0.6833333333333333,0.5700000000000001,0.022222222222222223,0
2020,0.01,55.6537,-119.223867,0.01,1.0,23.0,40.0,10.0,0.01,4,1,6,2,0.75,0.4,0.11111111111111112,0
2020,0.01,55.192,-117.493833,0.01,0.0,21.0,58.0,10.0,0.01,4,2,6,3,0.7166666666666666,0.58,0.11111111111111112,0
2020,2.77,58.716415,-118.752197,1.5,0.0,11.0,72.0,0.0,2.7,1,2,10,4,0.5499999999999999,0.72,0.0,0
2020,3.75,58.356602,-119.016914,2.0,1.0,22.0,32.0,0.0,2.0,4,2,6,2,0.7333333333333333,0.32,0.0,0
2020,0.2,58.447,-119.227833,0.1,0.1,22.0,25.0,25.0,0.01,4,1,4,2,0.7333333333333333,0.25,0.2777777777777778,0
2020,0.1,58.530667,-118.99265,0.01,1.0,24.0,28.0,25.0,0.1,4,1,6,2,0.7666666666666666,0.28,0.2777777777777778,0
2020,8.5,54.544666,-110.38195,2.0,12.0,19.0,26.0,5.0,3.0,3,2,9,3,0.6833333333333333,0.26,0.05555555555555556,2
2020,0.5,55.614601,-111.138229,0.5,1.0,16.0,25.0,15.0,0.5,3,2,8,2,0.6333333333333333,0.25,0.16666666666666669,0
2020,0.42,54.572552,-111.778648,0.5,1.0,19.0,25.0,20.0,0.42,4,2,9,2,0.6833333333333333,0.25,0.22222222222222224,0
2020,5.8,55.154711,-113.826787,1.5,0.5,22.0,25.0,10.0,2.0,4,2,0,3,0.7333333333333333,0.25,0.11111111111111112,1
2020,0.01,55.9277,-110.717667,0.01,0.0,21.2,23.0,2.0,0.01,1,2,10,2,0.72,0.23,0.022222222222222223,0
2020,0.01,54.560318,-113.90287,0.01,0.0,16.0,27.0,10.0,0.01,3,2,0,3,0.6333333333333333,0.27,0.11111111111111112,0
2020,0.01,55.690283,-111.28425,0.01,0.0,17.0,33.0,11.0,0.01,4,2,10,3,0.6499999999999999,0.33,0.12222222222222223,0
